timestamps,open,high,low,close,volume,amount
2016-01-04 00:00:00+00:00,13.87,14.0,13.75,13.97,38618524,536700937.28999996
2016-01-05 00:00:00+00:00,13.97,14.0,13.51,13.72,50267536,693691996.8
2016-01-06 00:00:00+00:00,13.56,13.56,13.05,13.11,61285453,816322233.96
2016-01-07 00:00:00+00:00,12.9,13.04,12.6,12.7,57846688,741016073.28
2016-01-08 00:00:00+00:00,13.05,13.1,12.5,12.54,46199413,591236987.8675
2016-01-11 00:00:00+00:00,12.8,12.82,12.55,12.77,41269121,525562255.935
2016-01-12 00:00:00+00:00,13.02,13.04,12.58,12.85,50983684,656287472.2900001
2016-01-13 00:00:00+00:00,12.73,12.84,12.06,12.2,102174690,1272841200.675
2016-01-14 00:00:00+00:00,12.19,12.31,11.82,12.19,62938610,763287992.775
2016-01-15 00:00:00+00:00,11.81,12.0,11.58,11.97,69029972,817314868.48
2016-01-19 00:00:00+00:00,12.15,12.16,11.82,11.95,41142617,494534256.34
2016-01-20 00:00:00+00:00,11.8,12.07,11.47,11.9,59879039,707171450.59
2016-01-21 00:00:00+00:00,12.01,12.28,11.86,12.01,48841795,588055211.8
2016-01-22 00:00:00+00:00,12.26,12.36,12.03,12.14,44537806,543249888.685
2016-01-25 00:00:00+00:00,12.3,12.31,11.93,11.98,96738579,1173438963.27
2016-01-26 00:00:00+00:00,12.14,12.295,12.04,12.26,45969782,560084331.4425
2016-01-27 00:00:00+00:00,12.06,12.1,11.73,11.85,42064238,502036680.53000003
2016-01-28 00:00:00+00:00,12.03,12.06,11.2,11.71,75699795,889472591.25
2016-01-29 00:00:00+00:00,11.83,11.94,11.65,11.94,52137357,617306306.88
2016-02-01 00:00:00+00:00,11.92,12.14,11.73,12.07,37301185,446308678.52500004
2016-02-02 00:00:00+00:00,11.95,12.08,11.45,11.51,55649160,653738507.1
2016-02-03 00:00:00+00:00,11.67,11.68,11.02,11.46,69454551,795775518.0825001
2016-02-04 00:00:00+00:00,11.38,11.69,11.26,11.53,40223130,461158185.45
2016-02-05 00:00:00+00:00,11.52,11.7,11.42,11.45,33322193,383954968.84250003
2016-02-08 00:00:00+00:00,11.41,11.69,11.25,11.59,45274520,519977862.2
2016-02-09 00:00:00+00:00,11.47,11.61,11.22,11.35,48956776,558719206.1
2016-02-10 00:00:00+00:00,11.46,11.57,11.33,11.34,38160284,435981244.70000005
2016-02-11 00:00:00+00:00,11.18,11.43,11.1,11.17,45801300,513890586.0
2016-02-12 00:00:00+00:00,11.24,11.58,11.18,11.55,28084963,319817516.16249996
2016-02-16 00:00:00+00:00,11.75,11.88,11.525,11.87,41072066,482853475.91249996
2016-02-17 00:00:00+00:00,11.99,12.3,11.98,12.27,37766423,458295543.1049999
