timestamps,open,high,low,close,volume,amount
2016-01-04 00:00:00+00:00,33.9,34.01,33.46,33.99,27882190,943533309.6000001
2016-01-05 00:00:00+00:00,33.96,34.0,33.53,33.83,16709510,565282723.3
2016-01-06 00:00:00+00:00,33.26,33.52,32.8,33.08,25491255,845417472.0749999
2016-01-07 00:00:00+00:00,32.26,33.0077,31.84,31.84,37680521,1214704129.4379249
2016-01-08 00:00:00+00:00,32.09,32.22,31.43,31.51,29953840,952906535.0000001
2016-01-11 00:00:00+00:00,31.79,32.22,31.68,32.06,27732435,885704642.8125
2016-01-12 00:00:00+00:00,32.89,32.89,32.27,32.68,28587697,934317407.2025001
2016-01-13 00:00:00+00:00,32.75,32.93,31.83,31.91,34445691,1114490332.305
2016-01-14 00:00:00+00:00,31.98,32.87,31.8,32.74,48728154,1576233961.5149999
2016-01-15 00:00:00+00:00,29.73,30.5,29.45,29.76,76373920,2280525251.2000003
2016-01-19 00:00:00+00:00,29.9675,30.06,29.48,29.8,28878108,861343717.5525
2016-01-20 00:00:00+00:00,29.35,29.87,29.21,29.59,39598190,1168344595.95
2016-01-21 00:00:00+00:00,29.73,30.03,29.24,29.66,30157376,894618559.04
2016-01-22 00:00:00+00:00,30.12,30.24,29.51,29.925,25326490,758496717.3875
2016-01-25 00:00:00+00:00,29.99,30.215,29.57,29.6,26440976,789097877.5
2016-01-26 00:00:00+00:00,29.61,30.05,29.61,29.94,24754949,737759367.5725
2016-01-27 00:00:00+00:00,29.87,30.22,29.64,29.81,26384138,788489964.13
2016-01-28 00:00:00+00:00,30.01,30.18,29.75,29.97,22028142,660348626.805
2016-01-29 00:00:00+00:00,30.21,31.03,30.1,31.02,38311356,1171944380.04
2016-02-01 00:00:00+00:00,30.69,31.12,30.64,30.82,19015120,585998460.6
2016-02-02 00:00:00+00:00,30.37,30.49,29.63,29.8,24994282,751640545.4449999
2016-02-03 00:00:00+00:00,29.72,29.72,28.52,29.34,44660057,1309656171.5249999
2016-02-04 00:00:00+00:00,29.21,29.88,29.11,29.77,29257839,862886816.7075
2016-02-05 00:00:00+00:00,29.58,29.76,28.91,29.04,27957541,819784995.9725
2016-02-08 00:00:00+00:00,28.74,28.98,28.3,28.82,28725928,824721392.88
2016-02-09 00:00:00+00:00,28.5,29.145,28.41,28.81,22902625,657677505.15625
2016-02-10 00:00:00+00:00,28.88,29.0,28.19,28.23,27267783,779176899.225
2016-02-11 00:00:00+00:00,27.83,28.41,27.68,28.22,28450212,797601693.42
2016-02-12 00:00:00+00:00,28.54,28.695,28.14,28.64,19698998,561495314.2425
2016-02-16 00:00:00+00:00,28.74,28.95,28.36,28.78,30705228,881470332.81
2016-02-17 00:00:00+00:00,28.86,29.6199,28.73,29.47,27691728,807767013.4668
2016-02-18 00:00:00+00:00,29.52,29.76,29.38,29.42,20623257,608798546.64
2016-02-19 00:00:00+00:00,29.26,29.33,28.71,28.71,42056701,1219749470.7525003
2016-02-22 00:00:00+00:00,29.14,29.54,29.0,29.35,23893145,699053689.8375
2016-02-23 00:00:00+00:00,29.33,29.345,28.6,28.8,26638208,773007498.4
2016-02-24 00:00:00+00:00,28.52,29.3,28.375,29.19,21593601,622894412.8462499
2016-02-25 00:00:00+00:00,29.32,29.62,28.95,29.62,17571439,516204949.2225
2016-02-26 00:00:00+00:00,29.89,30.08,29.7,29.8,19902219,594429525.9825
2016-02-29 00:00:00+00:00,29.72,30.14,29.58,29.59,22903077,681538313.8275
2016-03-01 00:00:00+00:00,29.92,30.53,29.75,30.37,25502568,768711155.94
2016-03-02 00:00:00+00:00,30.3,30.87,30.12,30.54,23779774,724272466.605
2016-03-03 00:00:00+00:00,31.12,31.35,30.54,30.58,25625212,791754987.77
2016-03-04 00:00:00+00:00,30.5,30.86,30.05,30.63,20356845,621087340.9499999
2016-03-07 00:00:00+00:00,30.6,31.12,30.5,30.94,18879949,581313629.71
2016-03-08 00:00:00+00:00,30.84,30.88,30.38,30.56,19104928,585852617.12
2016-03-09 00:00:00+00:00,30.83,31.04,30.67,30.865,14707806,453754199.85749996
2016-03-10 00:00:00+00:00,31.14,31.4,30.38,31.25,29584840,918387395.7
2016-03-11 00:00:00+00:00,31.65,31.79,31.53,31.76,22811232,722716857.84
2016-03-14 00:00:00+00:00,31.66,31.69,31.3,31.43,17438583,549664136.1600001
2016-03-15 00:00:00+00:00,31.34,31.65,31.06,31.65,16927746,531954418.04999995
2016-03-16 00:00:00+00:00,31.47,31.795,31.17,31.69,26298416,829221929.5
2016-03-17 00:00:00+00:00,31.76,32.17,31.7,31.98,22865286,729459786.6150001
2016-03-18 00:00:00+00:00,32.16,32.69,32.06,32.68,49934246,1617744734.785
2016-03-21 00:00:00+00:00,32.22,32.42,31.95,32.34,21760871,701407274.5075
2016-03-22 00:00:00+00:00,32.17,32.46,31.95,32.32,22200449,715409469.025
2016-03-23 00:00:00+00:00,32.47,32.47,31.98,32.0,18765319,604806231.3700001
2016-03-24 00:00:00+00:00,31.85,31.95,31.7001,31.88,14211908,452578565.5577
2016-03-28 00:00:00+00:00,31.88,32.0,31.62,31.9,11433018,364141623.3
2016-03-29 00:00:00+00:00,31.93,32.44,31.7269,32.38,15313190,491847795.07775
2016-03-30 00:00:00+00:00,32.45,32.75,32.289,32.71,16598019,540261368.94525
2016-03-31 00:00:00+00:00,32.53,32.66,32.315,32.35,17879995,580451687.68125
2016-04-01 00:00:00+00:00,32.27,32.47,32.1,32.45,18049694,583411234.315
2016-04-04 00:00:00+00:00,32.28,32.38,31.74,32.0,21581634,692770451.3999999
2016-04-05 00:00:00+00:00,31.89,32.12,31.72,31.9,20080011,640702950.9825
2016-04-06 00:00:00+00:00,31.97,32.23,31.77,32.08,15740607,503896181.5874999
2016-04-07 00:00:00+00:00,31.89,31.9,31.35,31.55,23738226,751848962.985
2016-04-08 00:00:00+00:00,31.77,32.02,31.48,31.63,17031882,540336456.45
2016-04-11 00:00:00+00:00,31.9,32.34,31.66,31.67,19707683,628527280.0775
2016-04-12 00:00:00+00:00,31.88,31.94,31.38,31.86,16774210,532832780.65000004
2016-04-13 00:00:00+00:00,32.02,32.18,31.95,32.13,19968076,640376197.32
2016-04-14 00:00:00+00:00,31.78,31.885,31.55,31.8,21620893,686544431.09875
2016-04-15 00:00:00+00:00,31.79,31.885,31.38,31.46,28782769,910363005.0087498
2016-04-18 00:00:00+00:00,31.4,31.72,31.38,31.65,21566599,680156615.9625
2016-04-19 00:00:00+00:00,31.7,31.81,31.4,31.6,33619314,1063294853.535
2016-04-20 00:00:00+00:00,31.34,32.26,31.25,32.0,57629791,1827584747.0874999
2016-04-21 00:00:00+00:00,31.94,32.06,31.81,31.97,28431358,908239731.3100001
2016-04-22 00:00:00+00:00,31.74,31.86,31.22,31.64,29625641,936614640.2149999
2016-04-25 00:00:00+00:00,31.36,31.5,31.195,31.39,19315711,605764841.59875
2016-04-26 00:00:00+00:00,31.39,31.7,31.17,31.4,20976362,658972412.23
2016-04-27 00:00:00+00:00,31.25,31.8,31.19,31.75,20006239,630146512.9025
2016-04-28 00:00:00+00:00,31.48,31.71,31.03,31.11,25146389,787899233.3425
2016-04-29 00:00:00+00:00,30.85,30.87,30.1,30.28,36443747,1112445377.175
2016-05-02 00:00:00+00:00,30.44,30.69,30.36,30.61,21086632,643669441.8000001
2016-05-03 00:00:00+00:00,30.41,30.56,30.09,30.36,27111147,822958867.1850001
2016-05-04 00:00:00+00:00,30.18,30.21,29.7,29.85,23278779,698014188.3149999
2016-05-05 00:00:00+00:00,29.85,30.02,29.75,29.9,23393270,698990907.6
2016-05-06 00:00:00+00:00,29.63,30.11,29.52,30.04,19632199,585530335.175
2016-05-09 00:00:00+00:00,30.08,30.17,29.76,29.8,16888275,505846056.9375
2016-05-10 00:00:00+00:00,29.99,30.18,29.82,30.14,17013816,510967429.02000004
2016-05-11 00:00:00+00:00,30.14,30.245,29.97,30.06,15754233,474261491.67375004
2016-05-12 00:00:00+00:00,30.1,30.24,29.57,29.76,20826694,623082617.745
2016-05-13 00:00:00+00:00,29.86,30.2,29.84,29.91,19999591,599037749.4275
2016-05-16 00:00:00+00:00,29.91,30.56,29.88,30.39,21826072,658819983.3199999
2016-05-17 00:00:00+00:00,30.57,30.57,29.86,29.98,25709903,777596016.235
2016-05-18 00:00:00+00:00,30.03,30.25,29.78,29.99,22469947,674379284.3375
2016-05-19 00:00:00+00:00,29.92,29.93,29.5,29.63,21740870,646682178.15
2016-05-20 00:00:00+00:00,29.7,30.38,29.7,30.15,22777251,682918928.1075001
2016-05-23 00:00:00+00:00,30.23,30.4825,30.13,30.23,20881905,632056110.778125
2016-05-24 00:00:00+00:00,30.5,31.12,30.45,31.06,23699229,729521516.6925001
2016-05-25 00:00:00+00:00,31.19,31.57,31.15,31.39,18423836,577126662.6999999
2016-05-26 00:00:00+00:00,31.47,31.63,31.4,31.49,12692300,399775719.25
2016-05-27 00:00:00+00:00,31.55,31.65,31.45,31.57,13341296,420984595.28
2016-05-31 00:00:00+00:00,31.51,31.65,31.31,31.59,23040218,726112470.27
2016-06-01 00:00:00+00:00,31.62,31.72,31.47,31.66,17753532,561322298.01
2016-06-02 00:00:00+00:00,31.6,31.76,31.45,31.76,14140127,447428968.5975
2016-06-03 00:00:00+00:00,31.69,31.74,31.395,31.62,15777539,498747729.71375
2016-06-06 00:00:00+00:00,31.64,31.82,31.58,31.68,15139603,479622623.04
2016-06-07 00:00:00+00:00,31.74,32.02,31.7,31.88,19339090,615659930.15
2016-06-08 00:00:00+00:00,31.79,32.0,31.79,31.89,12732088,405739814.34
2016-06-09 00:00:00+00:00,31.7,32.0,31.68,31.94,11276764,358939398.12
2016-06-10 00:00:00+00:00,31.72,32.24,31.65,32.04,35749113,1140843568.6125
2016-06-13 00:00:00+00:00,32.0489,32.5,32.04,32.17,23004832,740519215.7512
2016-06-14 00:00:00+00:00,32.01,32.24,31.79,32.14,18754277,600980806.465
2016-06-15 00:00:00+00:00,32.25,32.26,31.59,31.61,23783272,759340416.78
2016-06-16 00:00:00+00:00,31.43,31.77,31.22,31.69,18547853,584767435.4575
2016-06-17 00:00:00+00:00,31.72,31.81,31.47,31.76,27047860,857146683.4
2016-06-20 00:00:00+00:00,32.07,32.44,32.01,32.17,21961579,706558900.3774999
2016-06-21 00:00:00+00:00,32.3,32.375,32.09,32.32,15476450,499444387.06250006
2016-06-22 00:00:00+00:00,32.25,32.63,32.25,32.29,18304758,592250445.0899999
2016-06-23 00:00:00+00:00,32.54,33.0,32.5011,32.99,22048784,722269105.2956
2016-06-24 00:00:00+00:00,31.8,32.32,31.4,31.55,38094301,1210160707.0175002
2016-06-27 00:00:00+00:00,31.41,31.41,30.44,30.72,35454030,1098897659.8500001
2016-06-28 00:00:00+00:00,30.92,31.2,30.81,31.19,23693871,735220817.13
2016-06-29 00:00:00+00:00,31.3499,31.98,31.31,31.93,22771058,720532633.48855
2016-06-30 00:00:00+00:00,31.97,32.88,31.97,32.8,34528919,1118909620.195
2016-07-01 00:00:00+00:00,32.62,32.885,32.47,32.75,17084570,558345103.3125
2016-07-05 00:00:00+00:00,32.52,32.73,32.455,32.68,20107191,655419024.63375
2016-07-06 00:00:00+00:00,32.8,33.0,32.38,32.97,21070217,690839739.8875
2016-07-07 00:00:00+00:00,33.0,33.55,32.96,33.2,26119445,866577886.4874998
2016-07-08 00:00:00+00:00,33.68,34.0,33.5,34.0,23341870,788838496.6500001
2016-07-11 00:00:00+00:00,34.05,34.5,34.04,34.38,23820667,815679189.7475
2016-07-12 00:00:00+00:00,34.5,34.97,34.48,34.94,28064113,974456163.6424999
