timestamps,open,high,low,close,volume,amount
2020-11-30 00:00:00+00:00,11.0,13.94,10.1,10.48,186696,2124600.48
2020-12-01 00:00:00+00:00,10.6,10.74,10.46,10.6,437488,4637372.8
2020-12-02 00:00:00+00:00,10.65,10.705,10.4,10.55,318208,3365447.3600000003
2020-12-03 00:00:00+00:00,10.55,10.56,10.4,10.42,448261,4698895.9325
2020-12-04 00:00:00+00:00,10.65,10.65,10.37,10.41,536546,5644463.92
2020-12-07 00:00:00+00:00,10.69,10.8,10.44,10.62,824228,8767725.35
2020-12-08 00:00:00+00:00,10.8,11.0,10.7,10.87,1540954,16707793.745
2020-12-09 00:00:00+00:00,11.04,11.25,10.75,10.99,1475932,16246321.49
2020-12-10 00:00:00+00:00,11.0,11.13,10.75,10.91,643193,7041355.367500001
2020-12-11 00:00:00+00:00,11.05,11.27,10.8,11.06,1334182,14736040.190000003
2020-12-14 00:00:00+00:00,11.2,11.36,10.9,11.11,1408807,15697631.9975
2020-12-15 00:00:00+00:00,11.15,11.2,10.81,11.08,1132415,12524509.9
2020-12-16 00:00:00+00:00,11.06,11.06,10.81,10.99,1137143,12485830.14
2020-12-17 00:00:00+00:00,11.07,11.1,10.9477,11.03,397311,4385091.708675
2020-12-18 00:00:00+00:00,11.11,11.415,10.9944,11.22,773792,8654747.4512
2020-12-21 00:00:00+00:00,11.58,11.59,11.13,11.4,2660583,30397160.775000002
2020-12-22 00:00:00+00:00,11.95,12.1389,11.4,11.62,2068909,24366006.797525
2020-12-23 00:00:00+00:00,11.98,12.2,11.74,12.05,2239358,26855500.814999998
2020-12-24 00:00:00+00:00,12.42,12.45,12.05,12.4,1038732,12807565.56
2020-12-28 00:00:00+00:00,12.89,13.04,12.45,12.66,2589622,33043576.719999995
2020-12-29 00:00:00+00:00,12.77,12.78,12.07,12.3,1752490,21871075.2
2020-12-30 00:00:00+00:00,12.0,12.52,11.9,12.46,1220662,14916489.64
2020-12-31 00:00:00+00:00,12.45,12.5,12.16,12.44,828380,10261557.25
2021-01-04 00:00:00+00:00,12.59,12.59,11.8,12.2,1371365,16860932.675
2021-01-05 00:00:00+00:00,12.15,12.28,12.09,12.15,1303969,15866042.807499997
2021-01-06 00:00:00+00:00,12.15,12.2,11.89,12.12,1105655,13367368.95
2021-01-07 00:00:00+00:00,12.2,22.0,12.05,19.14,64876993,1060576643.0675
2021-01-08 00:00:00+00:00,21.46,22.0,17.89,18.74,35656955,713941381.4875001
2021-01-11 00:00:00+00:00,19.37,19.75,18.65,18.99,11702228,224565755.32000002
2021-01-12 00:00:00+00:00,18.98,19.19,18.25,18.45,7138594,133616633.19500001
2021-01-13 00:00:00+00:00,18.9,19.59,18.53,19.11,8226365,156568291.86249998
2021-01-14 00:00:00+00:00,19.4,19.45,18.92,19.16,7705092,148188181.89
2021-01-15 00:00:00+00:00,19.32,21.05,19.11,20.16,13024851,259324783.41
2021-01-19 00:00:00+00:00,21.9,24.22,21.06,22.59,22266241,499710113.6425
2021-01-20 00:00:00+00:00,23.86,24.62,22.11,22.37,10236079,237886475.96
2021-01-21 00:00:00+00:00,23.0,23.05,21.5,22.39,6971452,156753098.22
2021-01-22 00:00:00+00:00,22.09,22.99,21.19,21.65,6727266,147865306.67999998
2021-01-25 00:00:00+00:00,22.16,22.85,20.0,20.48,9701774,207351164.81500003
2021-01-26 00:00:00+00:00,20.4,21.32,19.5,19.57,9172375,185259044.06249997
2021-01-27 00:00:00+00:00,19.0,19.25,17.9,18.18,16297554,302849297.205
2021-01-28 00:00:00+00:00,20.42,20.92,19.1,20.28,12032102,242807818.35999998
2021-01-29 00:00:00+00:00,23.19,26.97,21.8,25.14,36434550,884448701.25
2021-02-01 00:00:00+00:00,25.85,28.26,25.14,25.78,18319125,481014424.6875
2021-02-02 00:00:00+00:00,26.01,26.18,23.85,24.33,8973941,225178614.5425
2021-02-03 00:00:00+00:00,24.8,25.75,24.51,24.95,4251461,106297153.6525
2021-02-04 00:00:00+00:00,24.07,25.12,23.42,25.06,8449840,206323968.20000002
2021-02-05 00:00:00+00:00,24.29,24.52,22.9,23.1,12226842,289806722.505
2021-02-08 00:00:00+00:00,23.4,24.39,22.8,23.0,7344517,171843336.5075
2021-02-09 00:00:00+00:00,22.93,24.0,22.75,23.12,6375268,147906217.60000002
2021-02-10 00:00:00+00:00,23.7,23.79,22.25,22.99,6308087,146237226.8775
2021-02-11 00:00:00+00:00,23.0,23.95,22.32,23.07,8551071,197401474.035
2021-02-12 00:00:00+00:00,22.84,24.48,22.8101,23.9,5847433,137458677.433325
2021-02-16 00:00:00+00:00,24.45,24.7,23.56,24.3,6134893,148786492.4825
2021-02-17 00:00:00+00:00,24.27,24.3,23.0,23.88,4731319,112901099.63749999
2021-02-18 00:00:00+00:00,22.6,23.32,22.26,23.23,5747048,131334414.42000002
2021-02-19 00:00:00+00:00,23.5,23.6,22.6,22.69,5138751,118692301.2225
2021-02-22 00:00:00+00:00,22.5,22.8374,21.02,21.29,6530307,143091107.43795002
2021-02-23 00:00:00+00:00,19.99,20.5999,16.84,20.12,12561903,243543580.36492503
2021-02-24 00:00:00+00:00,20.0,20.3,19.0,19.41,7947324,156383468.01
2021-02-25 00:00:00+00:00,20.43,21.0,18.525,18.72,7962251,156607524.35625
2021-02-26 00:00:00+00:00,18.85,19.22,17.7672,18.43,9106661,169081553.4548
2021-03-01 00:00:00+00:00,19.74,19.85,19.05,19.34,4422187,86210535.565
2021-03-02 00:00:00+00:00,19.4,19.61,18.62,18.77,3808951,72750964.1
2021-03-03 00:00:00+00:00,18.78,19.0,17.1,17.22,7175490,129338207.24999999
